方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
上升,5,金融,1.77,陸,sz300059,300059.SZ,東方財富,38
上升,5,金融,1.77,陸,sh600030,600030.SH,中信證券,71
上升,5,金融,1.77,陸,sz300033,300033.SZ,同花順,93
上升,5,金融,1.77,陸,sh600909,600909.SH,華安證券,115
上升,5,金融,1.77,陸,sh601318,601318.SH,中國平安,143
上升,6,機器人/自動化,1.73,台,2464,2464.TW,,80
上升,6,機器人/自動化,1.73,台,1590,1590.TW,,174
上升,6,機器人/自動化,1.73,台,2049,2049.TW,,195
上升,6,機器人/自動化,1.73,美,ISRG,ISRG.US,直覺外科(Intuitive Surgical),96
上升,6,機器人/自動化,1.73,美,JOBY,JOBY.US,Joby Aviation,286
上升,6,機器人/自動化,1.73,美,ROK,ROK.US,羅克韋爾自動化(Rockwell),353
上升,6,機器人/自動化,1.73,日,6861,6861.JP,基恩斯(Keyence),39
上升,6,機器人/自動化,1.73,日,6506,6506.JP,安川電機,40
上升,6,機器人/自動化,1.73,日,6324,6324.JP,哈默尼克(Harmonic Drive),41
上升,6,機器人/自動化,1.73,日,6273,6273.JP,SMC,45
上升,6,機器人/自動化,1.73,日,6954,6954.JP,發那科(Fanuc),46
上升,6,機器人/自動化,1.73,韓,454910,454910.KS,斗山機器人,115
上升,6,機器人/自動化,1.73,韓,098460,098460.KS,Koh Young,126
上升,6,機器人/自動化,1.73,韓,277810,277810.KS,Rainbow Robotics,128
上升,6,機器人/自動化,1.73,韓,108490,108490.KS,Robotis,129
上升,6,機器人/自動化,1.73,韓,319400,319400.KS,現代Moobex,163
上升,6,機器人/自動化,1.73,陸,sh688017,688017.SH,綠的諧波,21
上升,6,機器人/自動化,1.73,陸,sz300124,300124.SZ,匯川技術,64
上升,6,機器人/自動化,1.73,陸,sz300503,300503.SZ,昊志機電,91
上升,6,機器人/自動化,1.73,陸,sz002747,002747.SZ,埃斯頓,92
上升,6,機器人/自動化,1.73,陸,sz300607,300607.SZ,拓斯達,109
上升,7,電力設備,1.33,台,1519,1519.TW,,231
上升,7,電力設備,1.33,美,ETN,ETN.US,伊頓(Eaton),122
上升,7,電力設備,1.33,韓,006340,006340.KS,大元電線,8
上升,7,電力設備,1.33,韓,010120,010120.KS,LS ELECTRIC,10
上升,7,電力設備,1.33,韓,298040,298040.KS,曉星重工,23
上升,7,電力設備,1.33,韓,267260,267260.KS,HD現代電氣,34
上升,7,電力設備,1.33,韓,001440,001440.KS,大韓電線,57
上升,7,電力設備,1.33,陸,sz301018,301018.SZ,申菱環境,181
上升,7,電力設備,1.33,陸,sz002364,002364.SZ,中恆電氣,205
上升,7,電力設備,1.33,陸,sz002028,002028.SZ,思源電氣,238
上升,7,電力設備,1.33,陸,sh600089,600089.SH,特變電工,364
上升,7,電力設備,1.33,陸,sh600875,600875.SH,東方電氣,389
上升,8,半導體材料,1.15,台,1785,1785.TW,,44
上升,8,半導體材料,1.15,台,1717,1717.TW,,58
上升,8,半導體材料,1.15,台,8028,8028.TW,,70
上升,8,半導體材料,1.15,台,1560,1560.TW,,299
上升,8,半導體材料,1.15,美,ENTG,ENTG.US,英特格(Entegris),140
上升,8,半導體材料,1.15,美,Q,Q.US,Qnity Electronics(DuPont分拆),346
上升,8,半導體材料,1.15,日,4004,4004.JP,Resonac,29
上升,8,半導體材料,1.15,日,7741,7741.JP,豪雅(HOYA),53
上升,8,半導體材料,1.15,日,6971,6971.JP,京瓷(Kyocera),59
上升,8,半導體材料,1.15,日,4901,4901.JP,富士膠片,74
上升,8,半導體材料,1.15,日,6890,6890.JP,Ferrotec,115
上升,8,半導體材料,1.15,韓,093370,093370.KS,後成,63
上升,8,半導體材料,1.15,韓,005290,005290.KS,東進世美肯,164
上升,8,半導體材料,1.15,韓,357780,357780.KS,Soulbrain,181
上升,8,半導體材料,1.15,韓,014680,014680.KS,韓松化學,218
上升,8,半導體材料,1.15,韓,064760,064760.KS,TCK,229
上升,8,半導體材料,1.15,陸,sz002409,002409.SZ,雅克科技,36
上升,8,半導體材料,1.15,陸,sz300346,300346.SZ,南大光電,37
上升,8,半導體材料,1.15,陸,sz300285,300285.SZ,國瓷材料,44
上升,8,半導體材料,1.15,陸,sh600378,600378.SH,昊華科技,49
上升,8,半導體材料,1.15,陸,sz300666,300666.SZ,江豐電子,62
上升,9,傳統消費,1.11,台,1216,1216.TW,,180
上升,9,傳統消費,1.11,台,2912,2912.TW,,224
上升,9,傳統消費,1.11,美,PEP,PEP.US,百事(PepsiCo),67
上升,9,傳統消費,1.11,美,KO,KO.US,可口可樂,83
上升,9,傳統消費,1.11,美,CVS,CVS.US,CVS Health,235
上升,9,傳統消費,1.11,美,MNST,MNST.US,,246
上升,9,傳統消費,1.11,美,MDLZ,MDLZ.US,,251
上升,9,傳統消費,1.11,日,9983,9983.JP,迅銷(優衣庫),15
上升,9,傳統消費,1.11,日,2914,2914.JP,日本菸草(JT),47
上升,9,傳統消費,1.11,日,2802,2802.JP,味之素,57
上升,9,傳統消費,1.11,日,7453,7453.JP,良品計畫(無印良品),58
上升,9,傳統消費,1.11,日,8267,8267.JP,永旺(Aeon),81
上升,9,傳統消費,1.11,韓,278470,278470.KS,APR,43
上升,9,傳統消費,1.11,韓,161890,161890.KS,韓國콜마,71
上升,9,傳統消費,1.11,韓,004170,004170.KS,新世界,97
上升,9,傳統消費,1.11,韓,090430,090430.KS,雅萌詩太平洋,99
上升,9,傳統消費,1.11,韓,003230,003230.KS,三養食品,110
上升,9,傳統消費,1.11,陸,sz000333,000333.SZ,美的集團,116
上升,9,傳統消費,1.11,陸,sh600519,600519.SH,貴州茅臺,130
上升,9,傳統消費,1.11,陸,sz002714,002714.SZ,牧原股份,237
上升,9,傳統消費,1.11,陸,sz000858,000858.SZ,五 糧 液,276
上升,9,傳統消費,1.11,陸,sz000651,000651.SZ,格力電器,304
上升,10,功率半導體,1.05,台,8261,8261.TW,,22
上升,10,功率半導體,1.05,台,4919,4919.TW,,48
上升,10,功率半導體,1.05,台,2301,2301.TW,,73
上升,10,功率半導體,1.05,台,6138,6138.TW,,75
上升,10,功率半導體,1.05,台,3707,3707.TW,,87
上升,10,功率半導體,1.05,台,6719,6719.TW,,145
上升,10,功率半導體,1.05,台,2481,2481.TW,,149
上升,10,功率半導體,1.05,台,6415,6415.TW,,218
上升,10,功率半導體,1.05,台,5425,5425.TW,,232
上升,10,功率半導體,1.05,台,2385,2385.TW,,263
上升,10,功率半導體,1.05,台,8081,8081.TW,,283
上升,10,功率半導體,1.05,美,TXN,TXN.US,德州儀器,39
上升,10,功率半導體,1.05,美,MPWR,MPWR.US,萬代半導體(MPS),80
上升,10,功率半導體,1.05,美,ON,ON.US,安森美(onsemi),87
上升,10,功率半導體,1.05,美,NVTS,NVTS.US,Navitas Semiconductor,323
上升,10,功率半導體,1.05,美,WOLF,WOLF.US,Wolfspeed,644
上升,10,功率半導體,1.05,日,6963,6963.JP,羅姆(ROHM),27
上升,10,功率半導體,1.05,日,6503,6503.JP,三菱電機,55
上升,10,功率半導體,1.05,日,6504,6504.JP,富士電機,113
上升,10,功率半導體,1.05,日,6707,6707.JP,三研(Sanken),391
上升,10,功率半導體,1.05,韓,000990,000990.KS,DB海太克,81
上升,10,功率半導體,1.05,陸,sh600460,600460.SH,士蘭微,73
