熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
5,半導體設備,4553,美,AMAT,AMAT.US,應用材料,15
5,半導體設備,4553,美,LRCX,LRCX.US,科林研發(Lam Research),18
5,半導體設備,4553,美,ASML,ASML.US,艾司摩爾(ASML),25
5,半導體設備,4553,美,MKSI,MKSI.US,MKS儀器,161
5,半導體設備,4553,美,ONTO,ONTO.US,Onto Innovation,215
5,半導體設備,4553,日,8035,8035.JP,東京電子,3
5,半導體設備,4553,日,6525,6525.JP,Kokusai Electric,9
5,半導體設備,4553,日,6920,6920.JP,雷射科技(Lasertec),10
5,半導體設備,4553,日,7735,7735.JP,SCREEN,19
5,半導體設備,4553,日,6590,6590.JP,芝浦機械,62
5,半導體設備,4553,韓,036930,036930.KS,周星科技,6
5,半導體設備,4553,韓,403870,403870.KS,HPSP,9
5,半導體設備,4553,韓,240810,240810.KS,原益IPS,12
5,半導體設備,4553,韓,319660,319660.KS,PSK,53
5,半導體設備,4553,韓,095610,095610.KS,Tes,67
5,半導體設備,4553,陸,sh688012,688012.SH,中微公司,16
5,半導體設備,4553,陸,sz002371,002371.SZ,北方華創,17
5,半導體設備,4553,陸,sz002008,002008.SZ,大族雷射,53
5,半導體設備,4553,陸,sh688120,688120.SH,華海清科,80
5,半導體設備,4553,陸,sh688361,688361.SH,中科飛測,94
6,生技醫藥,4058,台,6446,6446.TW,,64
6,生技醫藥,4058,美,LLY,LLY.US,禮來(Eli Lilly),30
6,生技醫藥,4058,美,JNJ,JNJ.US,嬌生(Johnson & Johnson),61
6,生技醫藥,4058,美,ABBV,ABBV.US,艾伯維(AbbVie),69
6,生技醫藥,4058,美,UNH,UNH.US,聯合健康(UnitedHealth),75
6,生技醫藥,4058,美,ISRG,ISRG.US,直覺外科(Intuitive Surgical),96
6,生技醫藥,4058,日,4568,4568.JP,第一三共,38
6,生技醫藥,4058,日,4502,4502.JP,武田藥品,63
6,生技醫藥,4058,日,4519,4519.JP,中外製藥,66
6,生技醫藥,4058,日,4543,4543.JP,泰爾茂(Terumo),92
6,生技醫藥,4058,日,4503,4503.JP,安斯泰來(Astellas),111
6,生技醫藥,4058,韓,068270,068270.KS,Celltrion,33
6,生技醫藥,4058,韓,196170,196170.KS,Alteogen,37
6,生技醫藥,4058,韓,347850,347850.KS,D&D Pharmatech,50
6,生技醫藥,4058,韓,128940,128940.KS,韓美藥品,52
6,生技醫藥,4058,韓,207940,207940.KS,三星生物製劑,73
6,生技醫藥,4058,陸,sh603259,603259.SH,藥明康德,43
6,生技醫藥,4058,陸,sh600276,600276.SH,恆瑞醫藥,81
6,生技醫藥,4058,陸,sh688331,688331.SH,榮昌生物,333
6,生技醫藥,4058,陸,sz300558,300558.SZ,貝達藥業,348
6,生技醫藥,4058,陸,sz300760,300760.SZ,邁瑞醫療,409
7,記憶體,3908,台,2344,2344.TW,,7
7,記憶體,3908,台,2408,2408.TW,,8
7,記憶體,3908,台,8299,8299.TW,,30
7,記憶體,3908,台,2337,2337.TW,,31
7,記憶體,3908,台,5289,5289.TW,,50
7,記憶體,3908,台,3006,3006.TW,,96
7,記憶體,3908,台,3260,3260.TW,,108
7,記憶體,3908,台,2451,2451.TW,,237
7,記憶體,3908,台,5351,5351.TW,,246
7,記憶體,3908,台,4967,4967.TW,,287
7,記憶體,3908,美,MU,MU.US,美光科技,1
7,記憶體,3908,美,SNDK,SNDK.US,Sandisk,2
7,記憶體,3908,美,STX,STX.US,希捷科技,23
7,記憶體,3908,美,WDC,WDC.US,威騰電子,24
7,記憶體,3908,日,285,285.JP,鎧俠(Kioxia),1
7,記憶體,3908,韓,000660,000660.KS,SK海力士,1
7,記憶體,3908,韓,005930,005930.KS,三星電子,2
7,記憶體,3908,韓,005935,005935.KS,三星電子優先股,5
7,記憶體,3908,韓,080220,080220.KS,濟州半導體,28
7,記憶體,3908,韓,440110,440110.KS,Fadu,117
7,記憶體,3908,陸,sh603986,603986.SH,兆易創新,1
7,記憶體,3908,陸,sh688008,688008.SH,瀾起科技,6
7,記憶體,3908,陸,sz001309,001309.SZ,德明利,7
7,記憶體,3908,陸,sh688525,688525.SH,佰維存儲,11
7,記憶體,3908,陸,sz301308,301308.SZ,江波龍,19
8,IC設計,3573,台,2454,2454.TW,,2
8,IC設計,3573,台,3661,3661.TW,,16
8,IC設計,3573,台,3443,3443.TW,,26
8,IC設計,3573,台,2379,2379.TW,,79
8,IC設計,3573,台,3529,3529.TW,,83
8,IC設計,3573,台,5269,5269.TW,,93
8,IC設計,3573,台,5274,5274.TW,,103
8,IC設計,3573,台,3034,3034.TW,,155
8,IC設計,3573,台,3035,3035.TW,,160
8,IC設計,3573,台,2458,2458.TW,,190
8,IC設計,3573,台,2401,2401.TW,,228
8,IC設計,3573,台,6202,6202.TW,,286
8,IC設計,3573,台,4966,4966.TW,,290
8,IC設計,3573,美,NVDA,NVDA.US,輝達(NVIDIA),4
8,IC設計,3573,美,AMD,AMD.US,超微(AMD),8
8,IC設計,3573,美,QCOM,QCOM.US,高通,36
8,IC設計,3573,美,ARM,ARM.US,Arm控股,50
8,IC設計,3573,美,ADI,ADI.US,亞德諾(Analog Devices),54
8,IC設計,3573,日,6723,6723.JP,瑞薩電子,25
8,IC設計,3573,日,6526,6526.JP,Socionext,42
8,IC設計,3573,韓,490470,490470.KS,SemiFive,338
8,IC設計,3573,陸,sz300223,300223.SZ,北京君正,14
8,IC設計,3573,陸,sh688256,688256.SH,寒武紀,15
8,IC設計,3573,陸,sh688041,688041.SH,海光信息,34
8,IC設計,3573,陸,sh688766,688766.SH,普冉股份,50
8,IC設計,3573,陸,sz000938,000938.SZ,紫光股份,52
9,傳統產業,3426,台,1301,1301.TW,,21
9,傳統產業,3426,台,1303,1303.TW,,38
9,傳統產業,3426,台,1326,1326.TW,,43
9,傳統產業,3426,台,6505,6505.TW,,106
9,傳統產業,3426,台,1409,1409.TW,,112
9,傳統產業,3426,台,1815,1815.TW,,179
9,傳統產業,3426,台,2105,2105.TW,,213
9,傳統產業,3426,台,2002,2002.TW,,235
9,傳統產業,3426,台,1402,1402.TW,,242
9,傳統產業,3426,台,1605,1605.TW,,251
9,傳統產業,3426,台,1101,1101.TW,,260
9,傳統產業,3426,台,1102,1102.TW,,269
9,傳統產業,3426,台,1477,1477.TW,,272
9,傳統產業,3426,台,9904,9904.TW,,274
9,傳統產業,3426,日,7011,7011.JP,三菱重工,26
9,傳統產業,3426,日,7013,7013.JP,IHI,35
9,傳統產業,3426,日,6301,6301.JP,小松製作所(Komatsu),65
9,傳統產業,3426,日,5333,5333.JP,日本碍子(NGK),94
9,傳統產業,3426,日,1801,1801.JP,大成建設,103
9,傳統產業,3426,韓,034020,034020.KS,斗山能源重工,18
9,傳統產業,3426,韓,028050,028050.KS,三星E&A,41
9,傳統產業,3426,韓,005490,005490.KS,POSCO控股,59
