code,name,market
4960,誠美材,上市
4961,天鈺,上市
4967,十銓,上市
4968,立積,上市
4976,佳凌,上市
4977,眾達-KY,上市
4989,榮科,上市
4994,傳奇,上市
4999,鑫禾,上市
5007,三星,上市
5203,訊連,上市
5215,科嘉-KY,上市
5222,全訊,上市
5225,東科-KY,上市
5234,達興材料,上市
5243,乙盛-KY,上市
5244,弘凱,上市
5258,虹堡,上市
5269,祥碩,上市
5283,禾聯碩,上市
5284,jpp-KY,上市
5285,界霖,上市
5288,豐祥-KY,上市
5292,華懋,上市
5306,桂盟,上市
5388,中磊,上市
5434,崇越,上市
5469,瀚宇博,上市
5471,松翰,上市
5484,慧友,上市
5515,建國,上市
5519,隆大,上市
5521,工信,上市
5522,遠雄,上市
5525,順天,上市
5531,鄉林,上市
5533,皇鼎,上市
5534,長虹,上市
5538,東明-KY,上市
5546,永固-KY,上市
5607,遠雄港,上市
5608,四維航,上市
5706,鳳凰,上市
5871,中租-KY,上市
5876,上海商銀,上市
5880,合庫金,上市
5906,台南-KY,上市
5907,大洋-KY,上市
6005,群益證,上市
6024,群益期,上市
6108,競國,上市
6112,邁達特,上市
6115,鎰勝,上市
6116,彩晶,上市
6117,迎廣,上市
6120,達運,上市
6128,上福,上市
6133,金橋,上市
6136,富爾特,上市
6139,亞翔,上市
6141,柏承,上市
6142,友勁,上市
6152,百一,上市
6153,嘉聯益,上市
6155,鈞寶,上市
6164,華興,上市
6165,浪凡,上市
6166,凌華,上市
6168,宏齊,上市
6176,瑞儀,上市
6177,達麗,上市
6183,關貿,上市
6184,大豐電,上市
6189,豐藝,上市
6191,精成科,上市
6192,巨路,上市
6196,帆宣,上市
6197,佳必琪,上市
6201,亞弘電,上市
6202,盛群,上市
6205,詮欣,上市
6206,飛捷,上市
6209,今國光,上市
6213,聯茂,上市
6214,精誠,上市
6215,和椿,上市
6216,居易,上市
6224,聚鼎,上市
6225,天瀚,上市
6226,光鼎,上市
6230,尼得科超眾,上市
6235,華孚,上市
6239,力成,上市
6243,迅杰,上市
6257,矽格,上市
6269,台郡,上市
6271,同欣電,上市
6272,驊陞,上市
6277,宏正,上市
6278,台表科,上市
6281,全國電,上市
6282,康舒,上市
6283,淳安,上市
6285,啟��,上市
6405,悅城,上市
