code,name,amount_cny,rank
sh603893,瑞芯微,2474794885.0,265
sz002602,世纪华通,2471465539.0,266
sh688233,神工股份,2467066617.0,267
sz002179,中航光电,2462468529.0,268
sz000034,神州数码,2453994863.0,269
sz300776,帝尔激光,2453280807.0,270
sz002326,永太科技,2447548034.0,271
sz300499,高澜股份,2446936076.0,272
sh688106,金宏气体,2442128279.0,273
sh600353,旭光电子,2432500126.0,274
sh688300,联瑞新材,2421254269.0,275
sz002716,湖南白银,2417864600.0,276
sz000776,广发证券,2400578212.0,277
sz000651,格力电器,2395884045.0,278
sz000962,东方钽业,2382389162.0,279
sh688503,聚和材料,2377324435.0,280
sz300751,迈为股份,2372964824.0,281
sz000783,长江证券,2360226718.0,282
sh600482,中国动力,2359079963.0,283
sz000070,特发信息,2343674481.0,284
sz300088,长信科技,2329754494.0,285
sz300139,晓程科技,2329167627.0,286
sz300602,飞荣达,2318484682.0,287
sh688409,富创精密,2309994620.0,288
sh603678,火炬电子,2306539998.0,289
sz002653,海思科,2305641881.0,290
sz001896,豫能控股,2299518530.0,291
sz300199,翰宇药业,2287994383.0,292
sh688400,凌云光,2281583030.0,293
sz300679,电连技术,2276159418.0,294
sz000807,云铝股份,2275805900.0,295
sh603268,松发股份,2267666872.0,296
sz002155,湖南黄金,2260539677.0,297
sz301379,天山电子,2248147564.0,298
sz301319,唯特偶,2244622349.0,299
sh688183,生益电子,2241361978.0,300
sh688596,正帆科技,2237550478.0,301
sz002240,盛新锂能,2228691104.0,302
sh600330,天通股份,2220315229.0,303
sz002532,天山铝业,2202182333.0,304
sh600141,兴发集团,2197750302.0,305
sh601288,农业银行,2190790137.0,306
sz300655,晶瑞电材,2189885698.0,307
sh688172,燕东微,2183134635.0,308
sz000566,海南海药,2182211346.0,309
sh603179,新泉股份,2165550134.0,310
sh600397,江钨装备,2162708964.0,311
sh688308,欧科亿,2162561876.0,312
sz002648,卫星化学,2161165390.0,313
sh603662,柯力传感,2151466073.0,314
sh600188,兖矿能源,2146818024.0,315
sz002429,兆驰股份,2138453194.0,316
sz002378,章源钨业,2137755478.0,317
sz002149,西部材料,2135711697.0,318
sh600367,红星发展,2120269362.0,319
sh601958,金钼股份,2118858689.0,320
sh601688,华泰证券,2115156527.0,321
sz300748,金力永磁,2111497954.0,322
sz300672,国科微,2106163402.0,323
sh601212,白银有色,2092539782.0,324
sh600246,万通发展,2085796290.0,325
sz300568,星源材质,2084562481.0,326
sh601088,中国神华,2081839003.0,327
sz000733,振华科技,2077957196.0,328
sh688266,泽璟制药,2064815098.0,329
sz301071,力量钻石,2053283006.0,330
sh605111,新洁能,2048636814.0,331
sz002897,意华股份,2016275888.0,332
sz000062,深圳华强,2015268329.0,333
sh688729,屹唐股份,2004301405.0,334
sh600031,三一重工,1991437337.0,335
sh605020,永和股份,1985507828.0,336
sz002558,巨人网络,1982752836.0,337
sz002297,博云新材,1981012963.0,338
sh603738,泰晶科技,1976713388.0,339
sz002317,众生药业,1971313061.0,340
sh603283,赛腾股份,1969179956.0,341
sz300811,铂科新材,1960493228.0,342
sh603127,昭衍新药,1959906659.0,343
sz301666,大普微,1958831294.0,344
sz002842,翔鹭钨业,1957205741.0,345
sh688535,华海诚科,1956452365.0,346
sz301489,思泉新材,1952181347.0,347
sh601166,兴业银行,1951648220.0,348
sh688167,炬光科技,1949694651.0,349
sh603399,永杉锂业,1939675006.0,350
