market,code,name,amount_mil_jpy,rank
JP-東Ｐ,2269,明治ＨＤ,3259,320
JP-東Ｐ,4612,日本ペＨＤ,3239,321
JP-東Ｐ,7211,三菱自,3189,322
JP-東Ｐ,3088,マツキヨココ,3171,323
JP-東Ｐ,3038,神戸物産,3168,324
JP-東Ｓ,6777,ｓａｎｔｅｃ,3136,325
JP-東Ｓ,8918,ランド,3122,326
JP-東Ｐ,9435,光通信,3114,327
JP-東Ｐ,4676,フジＨＤ,3112,328
JP-東Ｐ,6966,三井ハイテク,3086,329
JP-東Ｐ,9023,東京メトロ,3065,330
JP-東Ｐ,9143,ＳＧＨＤ,3063,331
JP-東Ｐ,2371,カカクコム,3057,332
JP-東Ｐ,4912,ライオン,3057,333
JP-東Ｐ,6055,Ｊマテリアル,3057,334
JP-東Ｐ,4324,電通グループ,3032,335
JP-東Ｐ,4536,参天薬,3020,336
JP-東Ｐ,9532,大ガス,3014,337
JP-東Ｐ,7181,かんぽ生命,3012,338
JP-東Ｐ,6368,オルガノ,2982,339
JP-東Ｐ,5406,神戸鋼,2975,340
JP-東Ｐ,5393,ニチアス,2943,341
JP-東Ｐ,8227,しまむら,2932,342
JP-東Ｐ,4971,メック,2928,343
JP-東Ｐ,6376,日機装,2927,344
JP-東Ｐ,8050,セイコーＧ,2918,345
JP-東Ｐ,6101,ツガミ,2900,346
JP-東Ｐ,6103,オークマ,2883,347
JP-東Ｐ,5301,東海カーボン,2882,348
JP-東Ｐ,5857,ＡＲＥＨＤ,2881,349
JP-東Ｐ,6448,ブラザー,2877,350
JP-東Ｐ,3697,ＳＨＩＦＴ,2871,351
JP-東Ｐ,3387,クリレスＨＤ,2865,352
JP-東Ｇ,4564,オンコセラピ,2825,353
JP-東Ｐ,5991,ニッパツ,2821,354
JP-東Ｐ,3696,セレス,2809,355
JP-東Ｐ,6753,シャープ,2806,356
JP-東Ｐ,3778,さくらネット,2773,357
JP-東Ｐ,6471,日精工,2767,358
JP-東Ｐ,4043,トクヤマ,2744,359
JP-東Ｐ,4403,日油,2730,360
JP-東Ｐ,2432,ディーエヌエ,2714,361
JP-東Ｐ,4368,扶桑化学,2708,362
JP-東Ｐ,2282,日ハム,2699,363
JP-東Ｐ,2871,ニチレイ,2671,364
JP-東Ｐ,8304,あおぞら銀,2666,365
JP-東Ｐ,7752,リコー,2641,366
JP-東Ｐ,4022,ラサ工,2621,367
JP-東Ｐ,2002,日清粉Ｇ,2570,368
JP-東Ｐ,5830,いよぎんＨＤ,2561,369
JP-東Ｐ,3498,霞ヶ関Ｃ,2553,370
JP-東Ｐ,9468,カドカワ,2546,371
JP-東Ｓ,3103,ユニチカ,2532,372
JP-東Ｐ,7762,シチズン,2528,373
JP-東Ｐ,4208,ＵＢＥ,2526,374
JP-東Ｐ,4042,東ソー,2524,375
JP-東Ｇ,141,トライアル,2520,376
JP-東Ｐ,4922,コーセーＨＤ,2501,377
JP-東Ｐ,2501,サッポロＨＤ,2499,378
JP-東Ｐ,5076,インフロニア,2490,379
JP-東Ｐ,8078,阪和興,2482,380
JP-東Ｐ,7972,イトーキ,2409,381
JP-東Ｐ,7966,リンテック,2406,382
JP-東Ｐ,4401,ＡＤＥＫＡ,2398,383
JP-東Ｐ,4078,堺化学,2384,384
JP-東Ｐ,9072,ニッコンＨＤ,2378,385
JP-東Ｐ,7867,タカラトミー,2371,386
JP-東Ｐ,3349,コスモス薬品,2361,387
JP-東Ｐ,6845,アズビル,2345,388
JP-東Ｐ,8253,クレセゾン,2328,389
JP-東Ｐ,6923,スタンレー,2326,390
JP-東Ｐ,3391,ツルハＨＤ,2307,391
JP-東Ｐ,2267,ヤクルト,2280,392
JP-東Ｐ,1893,五洋建,2278,393
JP-東Ｐ,5021,コスモＨＤ,2272,394
JP-東Ｐ,4631,ＤＩＣ,2260,395
JP-東Ｐ,1662,石油資源,2259,396
JP-東Ｐ,9508,九州電,2254,397
JP-東Ｐ,6473,ジェイテクト,2249,398
JP-東Ｐ,6264,マルマエ,2244,399
JP-東Ｐ,5929,三和ＨＤ,2243,400
JP-東Ｐ,4205,ゼオン,2242,401
JP-東Ｐ,8366,滋賀銀,2240,402
JP-東Ｐ,2737,トーメンデバ,2236,403
JP-東Ｐ,8359,八十二長野,2231,404
JP-東Ｐ,5233,太平洋セメ,2223,405
JP-東Ｐ,9513,Ｊパワー,2209,406
JP-東Ｐ,6480,トムソン,2206,407
JP-東Ｐ,8179,ロイヤルＨＤ,2201,408
JP-東Ｇ,290,Ｓｙｎｓ,2197,409
JP-東Ｐ,4613,関西ペ,2184,410
JP-東Ｐ,3626,ＴＩＳ,2151,411
JP-東Ｐ,4194,ビジョナル,2146,412
JP-東Ｐ,4902,コニカミノル,2144,413
JP-東Ｐ,1721,コムシスＨＤ,2119,414
JP-東Ｐ,9831,ヤマダＨＤ,2119,415
JP-東Ｐ,1951,エクシオＧ,2113,416
JP-東Ｐ,4527,ロート,2112,417
JP-東Ｐ,3105,日清紡ＨＤ,2110,418
JP-東Ｇ,6521,オキサイド,2110,419
JP-東Ｐ,8012,長瀬産,2067,420
JP-東Ｐ,3231,野村不ＨＤ,2062,421
JP-東Ｐ,2264,森永乳,2055,422
JP-東Ｐ,8283,ＰＡＬＴＡＣ,2055,423
JP-東Ｐ,8377,ほくほくＦＧ,2042,424
JP-東Ｓ,4664,ＲＳＣ,2028,425
JP-東Ｐ,3132,マクニカＨＤ,2022,426
JP-東Ｐ,6951,日電子,2003,427
JP-東Ｇ,278,テラドローン,1996,428
JP-東Ｓ,4107,伊勢化,1991,429
JP-東Ｐ,9684,スクエニＨＤ,1978,430
JP-東Ｐ,7164,全国保証,1915,431
JP-東Ｇ,215,タイミー,1902,432
JP-東Ｐ,9041,近鉄ＧＨＤ,1897,433
JP-東Ｐ,8698,マネックスＧ,1892,434
JP-東Ｐ,8252,丸井Ｇ,1890,435
JP-東Ｐ,4443,Ｓａｎｓａｎ,1886,436
JP-東Ｇ,7685,バイセル,1882,437
JP-東Ｐ,9506,東北電,1881,438
JP-東Ｐ,4666,パーク２４,1880,439
JP-東Ｐ,6507,シンフォニア,1878,440
JP-東Ｇ,4259,エクサＷｉｚ,1871,441
JP-東Ｐ,9007,小田急,1853,442
JP-東Ｐ,543,ＡＲＣＨＩＯ,1852,443
JP-東Ｓ,6627,テラプローブ,1843,444
JP-東Ｓ,6366,千代建,1842,445
JP-東Ｇ,9256,サクシード,1841,446
JP-東Ｐ,9009,京成,1831,447
JP-東Ｐ,5032,エニーカラー,1828,448
JP-東Ｐ,5074,テスＨＤ,1823,449
JP-東Ｐ,2809,キユーピー,1819,450
JP-東Ｐ,9757,船井総研ＨＤ,1812,451
JP-東Ｐ,6814,古野電,1807,452
JP-東Ｐ,2811,カゴメ,1801,453
JP-東Ｐ,5384,フジミインコ,1782,454
JP-東Ｐ,6330,東洋エンジ,1770,455
JP-東Ｐ,3116,トヨタ紡織,1765,456
JP-東Ｐ,4202,ダイセル,1756,457
JP-東Ｐ,8060,キヤノンＭＪ,1755,458
JP-東Ｇ,5253,カバー,1749,459
JP-東Ｐ,9064,ヤマトＨＤ,1748,460
JP-東Ｐ,7951,ヤマハ,1734,461
JP-東Ｇ,2160,ジーエヌアイ,1711,462
JP-東Ｐ,8595,ジャフコＧ,1711,463
JP-東Ｐ,4369,トリケミカル,1701,464
JP-東Ｐ,5331,ノリタケ,1701,465
JP-東Ｇ,4588,オンコリス,1691,466
JP-東Ｓ,3891,高度紙,1684,467
JP-東Ｐ,2212,山パン,1675,468
JP-東Ｐ,4206,アイカ,1668,469
JP-東Ｐ,1961,三機工,1666,470
JP-東Ｐ,8334,群馬銀,1664,471
JP-東Ｐ,9722,藤田観,1663,472
JP-東Ｐ,7172,ＪＩＡ,1657,473
JP-東Ｐ,5463,丸一管,1652,474
JP-東Ｐ,3288,オープンＨ,1647,475
JP-東Ｐ,2670,ＡＢＣマート,1638,476
JP-東Ｐ,6460,セガサミー,1631,477
JP-東Ｐ,3774,ＩＩＪ,1627,478
JP-東Ｐ,9001,東武,1623,479
JP-東Ｐ,3046,ＪＩＮＳＨＤ,1618,480
JP-東Ｐ,1980,ダイダン,1614,481
JP-東Ｇ,4889,レナ,1608,482
JP-東Ｐ,8368,百五銀,1605,483
JP-東Ｐ,9401,ＴＢＳＨＤ,1605,484
JP-東Ｐ,9142,ＪＲ九州,1582,485
JP-東Ｐ,7988,ニフコ,1580,486
JP-東Ｐ,9301,三菱倉,1563,487
JP-東Ｐ,1959,クラフティア,1561,488
JP-東Ｐ,9404,日テレＨＤ,1560,489
JP-東Ｓ,7564,ワークマン,1558,490
JP-東Ｐ,2593,伊藤園,1557,491
JP-東Ｐ,6925,ウシオ電,1553,492
JP-東Ｐ,6432,竹内製作所,1543,493
JP-東Ｐ,4733,ＯＢＣ,1531,494
JP-東Ｐ,8439,東京センチュ,1526,495
JP-東Ｓ,5367,ニッカトー,1521,496
JP-東Ｐ,9504,中国電,1521,497
JP-東Ｇ,4597,ソレイジア,1520,498
